Total population,Median age,% BachelorsDeg or higher,Unemployment rate,Per capita income,Total households,Average household size,% Owner occupied housing,% Renter occupied housing,% Vacant housing,Median home value,Population growth,House hold growth,Per capita income growth,Winner
26275,41.1,14.8,9.5,18628.0,10814,2.39,56.0,22.9,21.0,64361.0,-0.96,-0.87,0.69,Mitt Romney
20383,40.8,12.9,8.7,17216.0,8179,2.47,64.8,18.5,16.7,82345.0,-0.15,-0.12,1.0,Mitt Romney
8766,43.2,10.8,7.9,19343.0,3667,2.35,55.0,19.9,25.1,67234.0,-1.01,-0.89,0.84,Mitt Romney
18331,41.7,12.6,9.8,18067.0,7431,2.42,62.2,21.7,16.2,75818.0,-0.38,-0.31,0.85,Mitt Romney
11380,39.3,10.2,6.6,16750.0,4507,2.5,63.3,22.4,14.3,69569.0,0.0,0.04,0.74,Mitt Romney
16701,35.7,11.2,7.1,16535.0,6008,2.75,65.3,22.7,12.0,75943.0,0.36,0.32,0.66,Mitt Romney
18102,47.3,12.1,9.9,17989.0,7717,2.32,61.3,15.4,23.3,77826.0,0.17,0.23,1.08,Mitt Romney
75905,37.3,18.1,9.5,19743.0,28724,2.51,66.2,24.8,9.0,99982.0,1.16,1.26,0.79,Mitt Romney
133020,31.1,33.9,10.3,22721.0,47250,2.75,45.6,29.2,25.3,162656.0,1.06,1.18,2.9,Barack Obama
1021553,37.4,30.1,9.5,25018.0,397863,2.51,56.4,32.1,11.4,134807.0,1.44,1.45,3.05,Barack Obama
46369,32.0,18.3,17.1,16487.0,14600,3.16,56.0,26.6,17.4,114416.0,0.63,0.75,3.38,Barack Obama
137424,39.4,21.6,8.9,20466.0,51584,2.54,56.2,27.7,16.2,97855.0,1.19,1.27,2.61,Mitt Romney
53596,46.7,16.3,13.5,20423.0,21062,2.5,50.8,14.3,34.9,97378.0,0.11,0.12,2.82,Mitt Romney
8499,35.3,14.1,12.1,18987.0,3125,2.71,40.2,40.2,19.6,79685.0,1.51,1.55,2.15,Mitt Romney
204806,47.1,11.8,11.8,20606.0,80826,2.5,55.1,20.0,24.9,108209.0,1.06,1.04,2.77,Mitt Romney
352324,38.2,18.0,13.3,21595.0,126419,2.65,58.0,17.4,24.6,97420.0,6.07,6.42,2.86,Mitt Romney
227644,48.7,23.9,9.9,25028.0,94557,2.37,61.8,22.7,15.5,147065.0,1.73,1.75,3.03,Mitt Romney
200639,35.0,14.2,18.9,19219.0,69396,2.81,52.2,20.9,26.9,103786.0,1.35,1.43,2.92,Mitt Romney
1063960,37.8,38.2,12.7,38994.0,381876,2.76,64.8,30.2,5.0,373549.0,0.68,0.62,2.49,Barack Obama
10240505,32.8,28.6,14.4,24448.0,3292577,3.06,44.4,50.4,5.1,361987.0,0.4,0.3,3.11,Barack Obama
692531,32.8,16.7,19.1,20754.0,218771,3.09,55.3,37.0,7.7,177927.0,1.0,0.92,2.62,Barack Obama
261161,36.1,39.7,9.0,34767.0,93671,2.68,52.9,37.2,10.0,543064.0,-0.05,-0.07,2.76,Barack Obama
476974,39.3,31.5,11.5,33664.0,181696,2.56,57.4,33.3,9.3,379388.0,-0.02,-0.03,2.63,Barack Obama
524533,32.3,15.8,19.0,20044.0,166419,3.11,56.6,35.8,7.6,166298.0,0.62,0.52,2.55,Barack Obama
203927,30.6,38.4,13.8,25069.0,71115,2.75,49.4,45.5,5.1,240221.0,1.46,1.46,2.89,Barack Obama
38989,46.7,19.1,11.8,26667.0,14763,2.35,61.7,20.6,17.8,270431.0,0.3,0.39,2.79,Mitt Romney
21879,32.5,12.6,11.4,17286.0,6980,3.07,54.8,32.8,12.4,202587.0,0.73,0.64,2.12,Mitt Romney
29698,38.1,13.1,14.3,18338.0,9932,2.6,55.6,31.8,12.6,180389.0,0.58,0.64,2.36,Mitt Romney
830222,31.2,14.8,18.6,18478.0,255037,3.11,55.0,34.9,10.1,138153.0,1.36,1.32,2.57,Mitt Romney
35861,35.2,12.5,11.7,20910.0,10151,2.54,52.7,25.0,22.2,188183.0,-0.01,0.07,2.4,Mitt Romney
98135,46.9,29.4,11.7,29963.0,40373,2.41,59.6,20.0,20.5,335645.0,-0.13,-0.04,2.91,Mitt Romney
352557,38.8,34.4,11.9,36665.0,134240,2.6,62.9,23.8,13.3,313798.0,2.0,2.06,2.63,Mitt Romney
2173606,34.2,20.2,17.5,22040.0,693993,3.08,58.4,27.6,14.0,191710.0,1.78,1.68,2.58,Mitt Romney
3321,47.9,17.6,11.7,22749.0,1475,2.23,46.3,19.3,34.4,189826.0,-0.85,-0.42,2.51,Mitt Romney
63491,40.4,13.2,18.7,18769.0,24025,2.6,58.4,29.1,12.5,181373.0,0.66,0.67,2.54,Mitt Romney
14137,48.2,18.0,15.6,19910.0,6111,2.27,48.5,19.9,31.6,185499.0,0.57,0.62,2.6,Mitt Romney
56325,46.4,18.6,14.0,24947.0,22102,2.33,51.0,21.0,28.0,244692.0,-0.27,-0.21,2.78,Mitt Romney
75569,32.2,12.2,18.4,16188.0,25582,2.91,46.5,40.0,13.5,138176.0,1.7,1.68,2.35,Mitt Romney
452396,33.4,20.2,10.9,24834.0,157844,2.84,62.7,28.7,8.6,202179.0,2.0,1.95,2.77,Barack Obama
57194,35.6,41.1,8.2,35177.0,20686,2.76,70.1,22.0,7.8,269498.0,3.49,3.52,2.04,Barack Obama
8313,35.3,16.4,9.5,13629.0,3026,2.73,52.6,14.9,32.5,84426.0,-0.22,-0.09,2.66,Barack Obama
54722,32.3,46.0,8.7,37103.0,19694,2.76,40.1,24.7,35.2,527529.0,2.75,2.71,2.28,Barack Obama
15503,33.1,47.3,7.6,25787.0,6431,2.28,31.6,24.0,44.5,293763.0,1.28,1.39,3.19,Barack Obama
8216,31.6,22.0,14.1,22541.0,3109,2.61,47.3,23.1,29.6,146006.0,0.54,0.5,2.68,Barack Obama
52482,37.6,39.9,7.6,25664.0,21054,2.41,52.5,25.6,21.9,295963.0,1.8,1.91,3.43,Barack Obama
300514,34.9,42.7,7.8,29351.0,118508,2.48,59.1,29.5,11.4,225617.0,1.79,1.89,3.12,Barack Obama
16100,41.4,60.7,5.3,47141.0,7361,2.14,36.6,27.1,36.3,815417.0,0.79,0.8,2.99,Barack Obama
160630,38.0,20.7,10.8,21044.0,62150,2.52,61.2,27.1,11.6,129872.0,1.11,1.14,2.78,Barack Obama
561,46.4,44.2,1.7,20363.0,270,2.06,23.1,11.6,65.3,176190.0,-0.98,-0.98,0.36,Barack Obama
7869,35.5,52.2,3.3,37475.0,3605,2.18,26.9,26.4,46.6,498214.0,1.75,1.77,3.45,Barack Obama
5926,38.5,13.0,8.6,17319.0,1752,2.52,46.3,22.2,31.5,72802.0,-1.03,-1.4,2.7,Mitt Romney
1961,41.8,14.6,1.4,19923.0,779,2.48,51.8,18.3,29.9,81471.0,-1.21,-1.16,2.94,Mitt Romney
4176,50.8,30.0,5.8,22216.0,1787,2.33,34.8,9.5,55.8,271451.0,1.02,1.08,3.11,Mitt Romney
31553,46.2,19.9,9.3,19730.0,12597,2.43,66.9,20.5,12.6,191171.0,1.07,1.11,2.53,Mitt Romney
14932,39.9,37.9,7.3,28663.0,6217,2.34,26.8,12.7,60.5,337945.0,1.5,1.62,3.14,Mitt Romney
1413,45.1,20.7,5.2,20234.0,615,2.28,32.7,16.4,50.9,113542.0,-1.13,-0.93,3.06,Mitt Romney
5437,39.6,15.2,3.6,19453.0,1803,2.44,51.1,23.6,25.3,101319.0,-1.0,-1.24,2.5,Mitt Romney
148729,40.2,24.7,11.7,22096.0,58808,2.47,66.5,26.5,6.9,193751.0,2.57,2.64,2.98,Mitt Romney
982,50.9,34.6,1.7,24122.0,448,2.19,25.2,8.9,65.9,194271.0,1.06,1.09,0.09,Mitt Romney
14279,37.1,14.3,7.3,21958.0,5446,2.56,62.3,25.3,12.5,154783.0,0.88,0.94,2.22,Mitt Romney
28456,34.7,15.3,7.1,17853.0,9799,2.84,59.0,28.1,12.9,146770.0,-0.02,-0.09,2.36,Mitt Romney
18913,39.7,17.5,10.4,18282.0,7420,2.47,56.9,26.5,16.6,88914.0,-0.7,-0.68,2.63,Mitt Romney
17302,44.2,33.1,8.1,29366.0,7113,2.42,45.2,6.8,47.9,240193.0,0.93,1.0,2.75,Mitt Romney
4582,42.3,22.2,4.5,19139.0,1812,2.48,63.5,21.2,15.3,113029.0,-0.26,-0.29,2.54,Mitt Romney
6596,39.6,21.8,7.9,21072.0,2586,2.46,56.4,23.8,19.9,156155.0,1.39,1.52,2.19,Mitt Romney
12217,40.5,21.1,9.8,18327.0,4661,2.57,49.3,21.1,29.6,112947.0,-0.37,-0.33,3.03,Mitt Romney
2457,45.3,15.1,2.4,18765.0,1040,2.31,54.2,20.8,25.0,76667.0,-1.09,-1.1,3.13,Mitt Romney
22898,42.6,34.7,9.0,27333.0,8956,2.54,57.9,14.2,27.9,212227.0,0.95,0.98,2.77,Mitt Romney
4512,42.7,16.1,3.3,19673.0,1751,2.45,53.1,19.5,27.3,99737.0,-1.23,-1.28,2.72,Mitt Romney
885075,40.3,33.2,11.0,32159.0,345159,2.48,59.5,33.7,6.8,227678.0,0.2,0.19,2.77,Barack Obama
167218,41.7,37.3,8.6,38400.0,67037,2.4,65.3,25.7,9.0,256126.0,0.55,0.63,2.32,Barack Obama
265769,39.7,29.9,9.3,30787.0,104223,2.44,58.8,29.6,11.6,228992.0,0.02,0.09,2.55,Barack Obama
119504,38.9,22.0,11.3,25171.0,44773,2.57,62.1,30.2,7.8,183676.0,0.72,0.72,2.72,Barack Obama
161048,36.1,21.3,9.4,23521.0,60841,2.59,64.7,27.1,8.2,183261.0,1.98,2.05,3.1,Barack Obama
1754788,40.1,29.8,11.3,27635.0,687170,2.52,57.3,26.7,16.0,138906.0,-0.07,-0.2,2.18,Barack Obama
49758,36.6,16.5,12.9,17665.0,17501,2.63,65.9,20.0,14.1,92155.0,0.63,0.79,1.99,Barack Obama
14782,41.8,21.2,9.0,19623.0,5172,2.48,68.3,16.9,14.8,100258.0,0.51,0.69,2.05,Barack Obama
273560,31.1,42.5,10.2,26264.0,112752,2.31,50.1,39.1,10.8,148427.0,0.94,1.05,2.22,Barack Obama
73868,46.4,30.2,6.7,29967.0,31484,2.3,36.2,21.8,42.0,299915.0,-0.95,-1.03,1.82,Barack Obama
922197,47.1,27.5,12.0,28371.0,411083,2.19,57.3,24.8,17.9,107956.0,-0.35,-0.36,2.03,Barack Obama
277366,45.6,18.0,13.4,22965.0,109742,2.5,60.0,17.6,22.3,111738.0,2.14,2.13,1.84,Barack Obama
26732,34.7,10.4,11.7,19414.0,8603,2.83,72.1,17.6,10.3,97794.0,1.05,1.22,1.97,Mitt Romney
170196,40.5,21.6,8.3,23233.0,70885,2.35,46.3,21.8,31.9,123565.0,0.54,0.72,1.94,Mitt Romney
558359,45.6,26.8,12.1,26322.0,230265,2.38,62.0,22.0,16.0,116890.0,0.66,0.65,1.82,Mitt Romney
146564,56.6,16.4,14.9,22149.0,64219,2.25,68.2,12.2,19.6,131393.0,1.34,1.3,1.85,Mitt Romney
34966,38.1,10.9,10.5,17104.0,11663,2.73,54.5,19.0,26.5,106862.0,0.19,0.15,1.86,Mitt Romney
15733,43.5,8.8,13.8,16778.0,5936,2.41,61.1,10.4,28.5,78064.0,0.58,0.71,2.13,Mitt Romney
904256,35.4,25.1,13.2,25622.0,357733,2.49,54.5,33.1,12.4,124274.0,0.96,1.02,1.96,Mitt Romney
96812,52.1,25.4,16.4,27469.0,42468,2.27,66.7,13.2,20.0,173467.0,2.92,3.06,1.92,Mitt Romney
11122,42.3,12.6,12.6,19144.0,3972,2.5,48.4,11.4,40.2,99741.0,-0.45,-0.48,2.07,Mitt Romney
16351,43.6,13.0,9.6,18812.0,5524,2.34,48.9,11.9,39.2,125147.0,-0.17,-0.04,2.04,Mitt Romney
29045,34.3,11.1,16.8,14856.0,8560,3.1,58.6,21.4,20.0,90503.0,0.37,0.34,1.93,Mitt Romney
40821,30.4,11.1,17.4,15895.0,12203,3.12,62.8,24.9,12.3,107967.0,0.84,0.84,1.71,Mitt Romney
19332,40.0,11.6,10.7,16891.0,7287,2.4,66.6,15.7,17.7,90034.0,0.23,0.33,1.95,Mitt Romney
40564,38.3,11.7,11.9,17840.0,14285,2.67,59.2,20.4,20.4,118919.0,0.74,0.81,1.93,Mitt Romney
390472,52.9,29.6,11.8,33356.0,178212,2.15,61.0,16.9,22.1,144295.0,0.79,0.78,1.91,Mitt Romney
96296,52.1,15.4,10.0,21643.0,40423,2.13,67.2,11.2,21.6,141753.0,2.51,3.01,2.22,Mitt Romney
40970,42.5,13.3,14.2,17016.0,15991,2.52,65.5,15.9,18.6,110816.0,1.04,1.1,1.71,Mitt Romney
15595,36.2,9.7,7.8,17686.0,3735,2.72,65.5,22.7,11.8,94502.0,0.19,0.38,1.96,Mitt Romney
57960,45.9,20.2,8.2,21728.0,24111,2.32,41.1,11.1,47.7,143862.0,1.8,1.92,1.9,Mitt Romney
24837,40.9,11.8,11.8,17654.0,9094,2.44,66.9,15.5,17.6,119458.0,1.15,1.33,2.04,Mitt Romney
4004,37.3,11.2,13.6,17196.0,1510,2.65,64.2,19.5,16.3,60169.0,-0.38,-0.31,2.86,Barack Obama
155804,36.6,25.7,12.6,22015.0,60550,2.47,47.6,34.9,17.5,94304.0,-0.01,0.03,3.02,Barack Obama
23161,34.6,12.2,15.2,15227.0,8371,2.72,65.5,22.8,11.7,70343.0,-0.05,0.04,2.74,Barack Obama
258954,36.1,30.2,10.6,24000.0,100369,2.47,51.4,35.4,13.2,115185.0,1.06,1.17,3.31,Barack Obama
117938,26.6,46.1,10.8,19744.0,45612,2.39,36.2,52.7,11.1,120372.0,1.49,1.55,3.13,Barack Obama
3243,43.3,10.5,10.3,16069.0,1338,2.39,47.2,17.0,35.8,54776.0,0.25,0.39,3.76,Barack Obama
761542,33.8,38.9,11.8,30357.0,283372,2.63,50.7,38.5,10.7,135851.0,1.13,1.12,2.73,Barack Obama
11499,37.1,12.2,10.7,16650.0,3862,2.58,55.9,23.3,20.8,66886.0,-0.3,-0.26,2.93,Barack Obama
9384,37.2,12.7,26.5,13679.0,3019,2.59,46.7,16.0,37.3,58818.0,-0.89,-0.94,2.92,Barack Obama
60111,26.2,17.1,11.9,17033.0,19712,2.9,40.1,41.6,18.3,104784.0,-0.51,-0.49,2.38,Barack Obama
26953,33.8,20.7,18.1,18694.0,9585,2.63,57.2,27.5,15.3,103842.0,1.1,1.26,2.92,Barack Obama
2682,43.4,6.4,14.2,16061.0,1089,2.46,45.1,11.5,43.4,60920.0,0.63,0.65,2.51,Barack Obama
6511,43.1,10.2,11.0,16603.0,2597,2.5,65.5,15.2,19.3,60000.0,-0.89,-0.78,2.74,Barack Obama
10526,37.3,11.1,12.9,15949.0,3833,2.64,53.5,28.4,18.1,70187.0,-0.67,-0.61,2.99,Barack Obama
5814,40.2,10.6,21.6,16390.0,2298,2.49,61.4,19.4,19.2,60000.0,-0.77,-0.6,2.81,Barack Obama
10439,37.3,8.5,10.9,15921.0,3959,2.54,61.9,21.5,16.5,62545.0,-0.15,-0.05,2.85,Mitt Romney
74224,34.9,13.5,10.8,21916.0,26193,2.81,69.5,23.4,7.1,125131.0,3.05,3.03,2.29,Mitt Romney
17625,37.4,12.2,15.0,17236.0,6819,2.53,53.1,27.6,19.4,69128.0,0.04,0.12,2.8,Mitt Romney
24849,37.9,10.9,10.4,19310.0,8411,2.68,64.3,20.7,15.0,103351.0,1.41,1.66,2.59,Mitt Romney
49602,31.2,18.9,11.2,20965.0,17400,2.82,49.2,30.1,20.6,114782.0,1.07,1.13,2.41,Mitt Romney
10778,37.4,13.4,11.1,14121.0,3787,2.73,61.0,23.2,15.9,71335.0,0.74,0.74,2.48,Mitt Romney
64846,38.3,16.8,8.2,21814.0,25176,2.55,69.4,21.9,8.7,103836.0,1.12,1.2,2.57,Mitt Romney
40745,34.1,12.8,18.0,16984.0,14383,2.66,59.1,21.3,19.6,72105.0,0.31,0.38,2.73,Mitt Romney
16702,36.4,10.4,13.1,15628.0,6304,2.6,63.9,22.8,13.3,77017.0,0.29,0.36,2.47,Mitt Romney
129842,35.5,24.4,10.9,27175.0,45527,2.83,70.2,21.1,8.7,137608.0,2.61,2.62,2.55,Mitt Romney
22247,36.3,16.2,14.6,16726.0,8553,2.54,48.7,32.8,18.5,87540.0,0.0,0.08,3.0,Mitt Romney
11936,36.3,11.6,11.9,14647.0,4361,2.6,60.8,25.0,14.2,76667.0,1.37,1.48,2.59,Mitt Romney
110230,40.8,40.2,8.3,39748.0,38170,2.87,79.7,13.4,6.9,188144.0,0.82,0.84,2.2,Mitt Romney
97420,38.1,19.6,11.3,20067.0,36205,2.58,58.2,30.0,11.8,95735.0,0.53,0.53,2.63,Mitt Romney
21876,41.0,13.1,11.8,18492.0,8607,2.47,65.9,18.5,15.6,99806.0,0.34,0.41,2.5,Mitt Romney
78471,40.1,27.9,9.7,24686.0,31712,2.43,51.4,28.1,20.6,103681.0,1.3,1.33,2.98,Mitt Romney
16528,44.0,21.9,11.5,23720.0,6431,2.53,55.2,17.9,26.9,96911.0,0.87,1.01,4.18,Mitt Romney
30934,41.8,25.3,7.5,25218.0,11655,2.63,70.3,12.2,17.5,106820.0,1.6,1.68,2.7,Mitt Romney
8450,37.9,14.0,24.0,15438.0,3221,2.58,54.4,20.5,25.1,58123.0,-0.24,-0.16,2.98,Mitt Romney
28087,38.8,18.3,10.9,21688.0,10466,2.64,73.6,13.3,13.1,90407.0,0.87,0.97,2.72,Mitt Romney
17708,38.2,14.1,11.3,19446.0,6506,2.6,62.7,24.7,12.6,86520.0,0.68,0.78,2.4,Mitt Romney
8304,34.5,11.2,9.7,15705.0,3036,2.65,60.6,20.1,19.3,66472.0,1.56,1.68,2.5,Mitt Romney
34148,34.2,20.2,8.6,23798.0,11562,2.87,70.4,20.0,9.6,107312.0,1.94,2.06,2.59,Mitt Romney
29020,35.1,21.8,11.1,20857.0,10620,2.58,63.1,24.7,12.2,159034.0,2.4,2.6,2.56,Mitt Romney
21846,37.3,14.9,13.9,18418.0,8317,2.58,59.0,25.0,16.0,85450.0,0.15,0.23,2.84,Mitt Romney
11990,40.5,14.1,10.0,17025.0,4771,2.49,55.3,11.9,32.8,65674.0,0.53,0.65,2.4,Mitt Romney
6135,42.1,11.7,7.8,16982.0,2421,2.46,64.3,20.0,15.7,62880.0,-0.37,-0.28,3.2,Mitt Romney
26255,39.0,20.7,7.9,22599.0,9377,2.7,67.5,18.2,14.3,92606.0,1.49,1.61,2.66,Mitt Romney
35118,38.3,45.1,7.2,28088.0,12139,2.87,72.1,18.4,9.5,167246.0,2.02,2.03,2.9,Mitt Romney
14460,39.6,19.4,8.2,19670.0,5656,2.54,69.9,15.7,14.3,89925.0,0.64,0.74,2.77,Mitt Romney
31981,42.6,19.6,8.7,23797.0,12688,2.5,66.2,15.4,18.5,105004.0,2.28,2.38,2.71,Mitt Romney
18212,38.1,12.7,10.0,16135.0,7089,2.55,65.9,17.1,16.9,77781.0,1.24,1.36,2.55,Mitt Romney
21029,44.1,17.7,10.9,22258.0,8516,2.45,51.9,14.4,33.7,112802.0,0.49,0.6,3.09,Mitt Romney
17207,45.6,21.6,13.0,21998.0,7254,2.31,43.1,11.7,45.2,133818.0,0.29,0.39,2.91,Mitt Romney
15440,39.0,13.0,16.4,16402.0,5813,2.56,61.5,18.7,19.7,64270.0,-0.22,-0.16,2.51,Mitt Romney
9329,40.1,10.9,10.3,17582.0,3633,2.48,55.8,14.6,29.7,69215.0,-0.09,0.02,3.05,Mitt Romney
64848,36.8,15.7,16.4,20454.0,24135,2.64,55.3,33.9,10.8,94190.0,0.64,0.72,2.76,Mitt Romney
42577,34.5,19.5,12.4,19047.0,15489,2.61,58.2,30.1,11.7,93588.0,0.96,1.08,3.11,Mitt Romney
28050,35.6,16.0,10.5,16550.0,10822,2.55,53.0,29.3,17.7,78221.0,0.86,0.95,2.82,Mitt Romney
11683,51.9,21.3,8.3,22129.0,5101,2.18,48.5,9.2,42.3,156919.0,1.61,1.75,2.88,Mitt Romney
9161,35.5,10.9,13.5,15224.0,3358,2.68,57.3,24.1,18.6,62382.0,-0.45,-0.38,2.88,Mitt Romney
22554,48.2,15.5,8.6,20477.0,9589,2.3,55.1,12.6,32.2,160134.0,1.37,1.52,2.59,Mitt Romney
30162,37.4,14.6,12.9,18106.0,10703,2.57,62.3,20.3,17.4,82563.0,0.83,1.0,2.75,Mitt Romney
26507,40.3,18.9,8.4,19677.0,10418,2.49,62.9,17.3,19.8,159540.0,1.43,1.5,2.19,Mitt Romney
10064,38.7,12.1,14.6,17441.0,3845,2.59,65.5,15.2,19.3,66757.0,-0.23,-0.11,2.38,Mitt Romney
21159,37.7,8.9,13.6,17820.0,7973,2.63,60.6,20.2,19.2,71407.0,-0.4,-0.29,2.7,Mitt Romney
182806,40.6,26.2,11.0,23458.0,66623,2.7,53.2,29.5,17.3,354015.0,1.48,1.61,2.8,Barack Obama
913740,36.9,31.6,7.0,27389.0,305200,2.9,48.4,41.5,10.0,595241.0,0.28,0.38,2.65,Barack Obama
148563,38.6,26.7,8.9,26396.0,51601,2.85,43.6,33.1,23.2,502043.0,0.84,0.95,2.65,Barack Obama
129668,35.6,26.7,7.5,24304.0,51637,2.4,64.2,29.6,6.2,106669.0,0.31,0.42,2.47,Barack Obama
44263,41.3,23.3,8.7,24739.0,18867,2.28,61.0,24.8,14.2,102002.0,-0.44,-0.37,2.4,Barack Obama
18152,43.4,12.8,6.6,20128.0,7361,2.4,60.5,18.6,20.9,96571.0,-0.39,-0.27,1.99,Barack Obama
40751,40.8,18.8,8.9,23939.0,16974,2.35,66.7,23.6,9.7,92901.0,-0.1,0.01,2.32,Barack Obama
94162,38.6,25.2,6.0,24435.0,36694,2.43,68.2,24.9,6.9,131440.0,0.54,0.73,2.43,Barack Obama
16382,42.6,17.4,7.2,21579.0,6774,2.36,67.6,23.6,8.7,93390.0,-0.3,-0.21,2.01,Barack Obama
437909,36.0,32.9,8.1,29629.0,176547,2.43,64.0,29.6,6.4,135771.0,1.6,1.66,2.3,Barack Obama
89494,28.0,48.7,6.6,24537.0,32993,2.38,54.2,39.4,6.5,138421.0,1.11,1.28,2.53,Barack Obama
